"No.","Time","Source","Destination","Protocol","Length","Info"
"89","0.029702","192.168.1.2","33.33.33.33","UDP","54","8038  >  33446 Len=12"
"90","0.049345","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"91","0.008215","192.168.1.2","33.33.33.33","UDP","54","8038  >  33447 Len=12"
"92","0.061532","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"93","0.052053","192.168.1.2","33.33.33.33","UDP","54","8038  >  33448 Len=12"
"94","0.090459","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"95","3.682599","192.168.1.2","33.33.33.33","UDP","54","4024  >  33434 Len=12"
"96","0.003834","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"97","0.056273","192.168.1.2","33.33.33.33","UDP","54","4024  >  33435 Len=12"
"98","0.004461","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"99","0.052643","192.168.1.2","33.33.33.33","UDP","54","4024  >  33436 Len=12"
"100","0.002989","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"101","0.054168","192.168.1.2","33.33.33.33","UDP","54","4024  >  33437 Len=12"
"102","0.025627","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"103","0.030852","192.168.1.2","33.33.33.33","UDP","54","4024  >  33438 Len=12"
"104","0.030274","172.10.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"105","0.026128","192.168.1.2","33.33.33.33","UDP","54","4024  >  33439 Len=12"
"106","0.024590","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"107","0.031390","192.168.1.2","33.33.33.33","UDP","54","4024  >  33440 Len=12"
"108","0.034514","172.18.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"109","0.024021","192.168.1.2","33.33.33.33","UDP","54","4024  >  33441 Len=12"
"110","0.021512","172.5.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"111","0.038434","192.168.1.2","33.33.33.33","UDP","54","4024  >  33442 Len=12"
"112","0.032555","172.8.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"113","0.026386","192.168.1.2","33.33.33.33","UDP","54","4024  >  33443 Len=12"
"114","0.024252","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"115","0.036491","192.168.1.2","33.33.33.33","UDP","54","4024  >  33444 Len=12"
"116","0.024121","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"117","0.034901","192.168.1.2","33.33.33.33","UDP","54","4024  >  33445 Len=12"
"118","0.025805","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"119","0.033663","192.168.1.2","33.33.33.33","UDP","54","4024  >  33446 Len=12"
"120","0.083172","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"121","0.037931","192.168.1.2","33.33.33.33","UDP","54","4024  >  33447 Len=12"
"122","0.078086","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"123","0.036086","192.168.1.2","33.33.33.33","UDP","54","4024  >  33448 Len=12"
"124","0.049962","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"125","3.733956","192.168.1.2","33.33.33.33","UDP","54","2388  >  33434 Len=12"
"126","0.008269","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"127","0.050959","192.168.1.2","33.33.33.33","UDP","54","2388  >  33435 Len=12"
"128","0.004808","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"129","0.055576","192.168.1.2","33.33.33.33","UDP","54","2388  >  33436 Len=12"
"130","0.005261","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"131","0.054900","192.168.1.2","33.33.33.33","UDP","54","2388  >  33437 Len=12"
"132","0.030985","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"133","0.026216","192.168.1.2","33.33.33.33","UDP","54","2388  >  33438 Len=12"
"134","0.024506","172.10.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"135","0.033692","192.168.1.2","33.33.33.33","UDP","54","2388  >  33439 Len=12"
"136","0.015459","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"137","0.042949","192.168.1.2","33.33.33.33","UDP","54","2388  >  33440 Len=12"
"138","0.032946","172.8.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"139","0.026046","192.168.1.2","33.33.33.33","UDP","54","2388  >  33441 Len=12"
"140","0.039818","172.5.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
